,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
VPS9D1-AS1,642.824758662905,2.79673234355395,0.327300880237317,8.54483599777095,1.2871893654961201e-17,1.11460091383674e-15
LOC100289230,495.614608729164,2.51542063136948,0.295847575525282,8.50242097439302,1.8567705691274e-17,1.59965025884417e-15
IFRD1,11933.5777637107,-1.54863466683273,0.182509843510704,-8.48521174005557,2.1532627798574202e-17,1.84571595453233e-15
CSRNP1,38022.3724103002,2.7060807824357,0.319047297229817,8.48175429139102,2.21823627855458e-17,1.8918545788758e-15
HBEGF,2377.22112446809,5.02406315028279,0.593612341761557,8.46354227638492,2.59376326728323e-17,2.19011692399657e-15
POFUT2,2316.78781023433,-1.11488615277177,0.13217301858039,-8.43505100168138,3.31058405701564e-17,2.7815461690925503e-15
TXNIP,74595.7080282127,-2.25974224481122,0.268524904923086,-8.41539165783705,3.91584366715847e-17,3.25782836857909e-15
EIF1B,2406.98933237562,1.6435711613954,0.195296501449251,8.41577370407988,3.90310138076624e-17,3.25782836857909e-15
DNAH2,168.111479128468,2.45021276576511,0.291444940747845,8.40712060218951,4.20198943005269e-17,3.47883729789533e-15
NR1D1,299.252282547718,2.23717953898456,0.266645584982865,8.39008656051189,4.8578436263150105e-17,4.00229718571934e-15
HMGCS1,1338.5782784413,1.59322798939746,0.190514958066096,8.36274487615145,6.12756261983525e-17,5.02400931322918e-15
ARRDC3,4159.27655644394,-1.88309461876002,0.225665839305601,-8.34461531508051,7.14460623272986e-17,5.8297238933601606e-15
LOC151475,286.834019298563,1.22381663772443,0.146915169788465,8.33009034728369,8.0780683462687e-17,6.5286179034701206e-15
RAB22A,1620.11140674348,-1.08822506049138,0.130631591994767,-8.3304891556016,8.050900948953391e-17,6.5286179034701206e-15
MAFF,12599.8862934924,2.56946245109877,0.308717939057524,8.32300986117947,8.57573088061819e-17,6.897976516865021e-15
SLC6A4,442.367783479573,1.43952048170213,0.173122265473932,8.31505108693766,9.1712754436481e-17,7.34221164290545e-15
LOC440600,201.207418899624,1.74532857765559,0.210169293897763,8.30439378315941,1.00330375364281e-16,7.99439967456612e-15
SLC25A25-AS1,518.988102938673,1.24936588310618,0.150502119223623,8.30131754656433,1.02963082640467e-16,8.16583849800937e-15
LOC101929450,354.15030509732,1.35755391464587,0.16373765045912,8.29103087065978,1.12271138768455e-16,8.862631475247511e-15
HELB,794.106052246883,3.23873430792869,0.391582501857626,8.27088619272944,1.32966930426765e-16,1.04477534407549e-14
C5orf28,216.480031608318,1.43142699988381,0.173414587884867,8.25436324211751,1.52714232816949e-16,1.19440827620703e-14
FREM2,96.3373193925547,1.90846877052046,0.231388557876123,8.24789604135132,1.61207511653672e-16,1.25505224210373e-14
PIM3,7551.717330155,2.04324503072412,0.247982475661931,8.2394734759791,1.72970149312982e-16,1.34047916627394e-14
BEST1,2896.28744652326,-1.14052115455772,0.138959797744978,-8.2075619932236,2.25724922530066e-16,1.74136517508195e-14
TNF,1400.33464019783,3.45830906918404,0.42166740419719,8.2015091391005,2.37387838820528e-16,1.8230526698923102e-14
LOC100288254,427.977103651455,1.14693361162948,0.13995586989392,8.19496611681098,2.50663763583654e-16,1.9163357637575602e-14
ILF3-AS1,496.039317061373,1.17323634214198,0.14323267106785,8.19112241219195,2.58801200328074e-16,1.96967442689151e-14
HMGA1,1098.13966834257,1.82359467533058,0.222907507942468,8.18094774897061,2.81620010993822e-16,2.1337744761549802e-14
ZYG11A,429.597557273509,1.30763594772129,0.159908865674038,8.17738242472938,2.9007624724543597e-16,2.18807736366646e-14
FRMD6-AS1,537.382610064658,1.12547804127623,0.138304294733273,8.1376940856882,4.02877235377303e-16,3.02550107912548e-14
LOC221946,275.326193902089,1.51319015001709,0.186049689764424,8.13325812009194,4.17903476662625e-16,3.12451885723263e-14
MIR23A,479.122899411633,2.32001170292833,0.285276612241821,8.13249878669242,4.20530407813274e-16,3.13036933395039e-14
GPR4,269.04774096392,4.15101380832352,0.510875123817678,8.12530032252057,4.46256076061893e-16,3.30736162573033e-14
SRFBP1,281.87159554633,1.16235383264399,0.143256966322933,8.11376830376115,4.90736690261748e-16,3.6212100465749504e-14
TGM2,253.320151730866,3.70945989631544,0.458613172780413,8.08842858530704,6.04394073778175e-16,4.42972644791005e-14
LOC286059,454.806583797796,-2.60306147637409,0.321834423843651,-8.08820089935025,6.05524708882355e-16,4.42972644791005e-14
