,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LRG1,15172.721043659,1.56508157352445,0.210259075397701,7.44358630210908,9.798803636481541e-14,1.5883647677266198e-11
SIK1,2722.84093159261,-3.0475683140732,0.409350879214207,-7.44488034305272,9.70323270572172e-14,1.5883647677266198e-11
SRSF3,6361.37213139041,1.45357587558227,0.19644758185803,7.39930653171775,1.36897512568418e-13,2.19521785476648e-11
ZNF200,2613.30333462656,1.46936200251966,0.199013971481496,7.38321029212904,1.54517675632213e-13,2.4514064858544598e-11
TNFSF8,1827.30847525431,1.14419585779263,0.155863588775133,7.34100803647852,2.11991079137881e-13,3.32781364545602e-11
PLEKHG6,801.90918559325,3.18244479149031,0.433779057444063,7.33655702569436,2.19158458514421e-13,3.40448967898496e-11
C2orf80,24.9744094547492,7.6610858398488,1.0445315984224,7.33447016004082,2.22600355482128e-13,3.4223083518608e-11
BTG2,112132.688700058,1.62019778980407,0.222225421666929,7.29078508503145,3.08153999249827e-13,4.689286317155779e-11
PELO,363.853789569785,-1.94589086218006,0.267314605417729,-7.2794034547392,3.35299524801583e-13,5.050830114511119e-11
CISH,4818.85577206134,6.09769455490608,0.842328648672432,7.23909196786369,4.5169866576614e-13,6.73618220257044e-11
MIR22HG,7047.16614207979,1.62887382173006,0.225458095532454,7.22472980126629,5.02099137700175e-13,7.41366776289377e-11
IFRD1,11933.5777637107,-1.32873565524256,0.184610428000682,-7.19751137372178,6.13214356650748e-13,8.965554608561379e-11
CARD6,1152.16189133422,1.42534790571364,0.198510746359069,7.18020526271887,6.96068340985327e-13,1.00781234651594e-10
LOC101929709,301.461607649793,2.2190829455395,0.312378474114777,7.10382798247534,1.21347880446144e-12,1.7400585972051401e-10
FLJ23867,665.458473704861,1.44366212206534,0.203661714294927,7.08852975662741,1.35544239116032e-12,1.92511546470227e-10
DHCR7,165.607642619001,-1.65082443036628,0.233010248116941,-7.08477178024281,1.39273629159947e-12,1.95942229402102e-10
LUCAT1,12396.3332362913,1.17790390719494,0.166307469874169,7.08268791585945,1.41384843577248e-12,1.97053474043692e-10
C9orf66,455.616340217246,1.22585891479992,0.173466392101481,7.06683813474811,1.5850365282073699e-12,2.1886712726996801e-10
CXCL2,3829.7241238245,2.45577888023601,0.347886278376695,7.05914269368471,1.6753296849165499e-12,2.29212766891381e-10
GPR132,5429.76988732179,1.32269061228719,0.188697317784653,7.00958883685185,2.3901948820792697e-12,3.2404523887680203e-10
MAFF,12599.8862934924,2.18916030055885,0.312372032498353,7.00818278464281,2.4143326922825097e-12,3.24368859819902e-10
ETS2,40818.3785611761,2.09560054113411,0.299429847400818,6.99863610566828,2.58466199355388e-12,3.44152359909545e-10
ECE2,23.184519573862,4.98556161631185,0.714048162138049,6.98210832359509,2.90782775208648e-12,3.83756064308546e-10
FFAR2,49406.8215835467,1.41510079239182,0.204658836195247,6.91443779657671,4.69722459311804e-12,6.14471143483941e-10
ATF3,335.170263133736,2.47034926511539,0.358512934146671,6.89054432860363,5.55793036238784e-12,7.207427434286081e-10
TMEM170B,6412.75448861501,-1.63549277492305,0.238576451170128,-6.85521461527979,7.120553748402109e-12,9.15420845257937e-10
LOC100289230,495.614608729164,2.04278415182791,0.298402065772844,6.8457440015947,7.60794233923687e-12,9.69720035085807e-10
FAM86B3P,1215.99924108899,-1.74168014896856,0.255032089720304,-6.82925882338444,8.53544593124558e-12,1.07872123027682e-09
GPX3,969.270493689918,-1.86739323097783,0.273571156358079,-6.82598727087144,8.73226729144884e-12,1.0943218665325801e-09
FFAR3,277.667197469742,2.30094266539069,0.341033856668912,6.7469625680729,1.50972203086481e-11,1.8762070538572503e-09
MIR5696,64.1533699394085,2.95726272158815,0.439990637298572,6.72119465937952,1.80240609199783e-11,2.22142826859203e-09
DNAH17,2027.689560778,1.96294319791834,0.292167144100413,6.71856243097517,1.83526110632733e-11,2.24338105562783e-09
POU5F1,954.982064452958,1.43878842381312,0.216149734828308,6.65644315944212,2.8053355238320897e-11,3.4012982656022804e-09
HNRNPA2B1,13741.9504687267,1.21069877361469,0.182075584440825,6.64942956153556,2.9423111573022596e-11,3.5386037329716604e-09
RPL36A,1360.05936474822,2.5872493457017,0.390368557705358,6.62770936499067,3.4093588735270396e-11,4.06750151047269e-09
ACTG1,43782.4886975762,1.71637526717148,0.260829783193927,6.58044202680396,4.690516965872509e-11,5.55156186603625e-09
SOCS1,360.124819333535,2.23146389243587,0.339224192141427,6.57813901287306,4.763727609351139e-11,5.59381652269713e-09
TMCC3,13188.4641584116,-1.32022775208099,0.201530243708005,-6.55101550908583,5.7147122878448004e-11,6.6580862772366804e-09
PAF1,5439.04284554942,1.06800902476182,0.163112213238884,6.54769501041397,5.84318952313132e-11,6.7549988649967e-09
TRIM38,9998.91090953012,1.16799855245266,0.179279991869791,6.51494090484435,7.271828108874501e-11,8.34190558366503e-09
LINC01366,699.067165989647,2.25963160311605,0.347723717064816,6.49835341169683,8.1203864843459e-11,9.244223178706131e-09
MLK7-AS1,78.9620636779684,3.50387252183716,0.541921945228185,6.4656405829105,1.00870574917695e-10,1.13960824526332e-08
IER3,28785.2244451232,1.71134982857349,0.265900464229646,6.43605430901195,1.2261917551326002e-10,1.36464161524571e-08
PRDM7,530.382954794414,1.31791121728711,0.205103189458771,6.42560079521354,1.31349695139629e-10,1.45097629897577e-08
