,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC38A2,10497.2564670448,-1.1536961256193,0.169070380667556,-6.82376251277163,8.868645055105269e-12,1.3094861753147e-09
HDGF,3954.01336820456,1.7251506654984,0.252963845406317,6.8197519006221,9.119787044452329e-12,1.3333665117050702e-09
LOC100129518,98.1483881786158,1.82118928409839,0.267799297813186,6.80057527771726,1.0420220471223399e-11,1.5087062901684901e-09
GTF3C6,103.477197340381,2.34541200885885,0.345654828127139,6.78541660062146,1.1575200294554499e-11,1.6598169422374102e-09
BYSL,50.812182018028,2.61193118782969,0.386766776378376,6.75324600599723,1.4457349432107598e-11,2.05335668648591e-09
LOC152225,23.4585521982798,4.74384094836725,0.702785083441755,6.75005924305508,1.47784799691046e-11,2.07916482810619e-09
TMEM170B,6412.75448861501,-1.60832937963187,0.238521614975997,-6.74290830956231,1.55247189079616e-11,2.1637395614432804e-09
NBN,13152.6717777641,2.13122286525394,0.317088721299738,6.72121940041928,1.8021000274270297e-11,2.48839978787215e-09
TSIX,3244.43326782543,2.00469336356428,0.298575782724523,6.71418607789061,1.89118848591261e-11,2.58745815508392e-09
OSM,59086.9221896857,1.22618092249223,0.183455003325433,6.68382382745428,2.3278663506903698e-11,3.1559518988950404e-09
JUNB,136756.825065914,1.58632220148638,0.237561827502754,6.67751304223315,2.4303098902319397e-11,3.2651541795521603e-09
BTG2,112132.688700058,1.48301076043569,0.222224387689101,6.67348339152799,2.4980186539273597e-11,3.3261564451802404e-09
PRR7,688.071479386978,1.22673341482317,0.184459709430619,6.6504138958572,2.9226994395040596e-11,3.857187322241061e-09
SNX30,1123.49994119519,1.38571029351233,0.20882487221027,6.63575310184807,3.2284986080577195e-11,4.22338594227761e-09
SOD2,183589.552060456,1.0124938938677,0.15343767067392,6.59873086850628,4.1469232189884495e-11,5.377657909980421e-09
ACAT2,177.872359251668,2.13121256886547,0.326118962712107,6.53507711155968,6.357677624390479e-11,8.173452276942691e-09
LINC01268,100.364001662235,2.37178238659978,0.363704527878873,6.52117915724622,6.9756802857258e-11,8.891309410344351e-09
G0S2,115886.484809854,1.99000702100806,0.306063171789684,6.50194863162278,7.928617699693929e-11,1.00202945555539e-08
ERVK13-1,1404.85070199253,1.20164198531939,0.185246591134682,6.48671577684117,8.772760727850049e-11,1.0993964767599e-08
ZC3H12A,12967.1582459843,2.15123607110328,0.339398083596511,6.3383860283099,2.3218449736648601e-10,2.885472841022e-08
PTGS2,175576.471767124,1.82835044380169,0.289132503512999,6.32357283109644,2.5558365423805003e-10,3.15001573194383e-08
LINC01465,70.0055228297033,2.63954146103229,0.418512824971779,6.30695477781424,2.84578933647309e-10,3.47862757170682e-08
LINC00678,324.533865128425,2.79055604585502,0.44320790260085,6.29626870251945,3.04895668393277e-10,3.69667406727557e-08
PTGER2,142.478167993868,2.02163118104757,0.322145897209566,6.27551428889511,3.48480472748141e-10,4.19103975007502e-08
NIPAL4,67.8866229276286,2.50042967906064,0.398581475386393,6.27332134950997,3.53426405221619e-10,4.216518384856e-08
CNTNAP2,784.303109405018,1.13551761412915,0.182121229177405,6.23495470164563,4.51908840159621e-10,5.3486639153178e-08
LINC01093,466.631376102185,2.34239497541728,0.376063194723001,6.2287270019674,4.70240368856437e-10,5.52180678799689e-08
MTF1,6986.40118085029,1.17703503775312,0.189089503725624,6.22475079029791,4.82322048798864e-10,5.61942868260739e-08
PACERR,127.508767947155,1.55036043807232,0.249977778232591,6.20199302927556,5.57525479297976e-10,6.44525385486102e-08
SLC2A6,159.67306630482,1.61792753525717,0.260982073499702,6.19938187156374,5.66853439702885e-10,6.50268103560702e-08
HCST,720.716557052548,1.28955454719148,0.20909431927502,6.16733420430871,6.94508701205852e-10,7.90626584815487e-08
REL,11690.2913834314,1.61574016210987,0.262257175962139,6.16089972059763,7.23327875769431e-10,8.17196106920419e-08
PLEK,223262.454634321,1.38565192676017,0.225747924610594,6.13804946003543,8.35408552710614e-10,9.36725394479201e-08
ABCF1,1503.47807776937,1.33596510946201,0.21778822709776,6.13423933545464,8.5567617205426e-10,9.52290951779491e-08
CXorf65,413.16381106781,1.01443182151852,0.166206929815984,6.10342675026636,1.0381815875741302e-09,1.14684459374022e-07
TRAF1,2738.79751829515,3.66732526431524,0.60515941985531,6.06009779240001,1.3603881381934602e-09,1.49172561065287e-07
GBP3,1311.53376114039,1.84826808692295,0.305183524636248,6.05625119876939,1.3933036941182101e-09,1.51666700659743e-07
LOC101927686,16.5525322901768,7.30994078298419,1.20766203750086,6.05296892341787,1.42200308450128e-09,1.53669072457737e-07
BATF3,61.5281770095616,3.69962171758295,0.61228797860147,6.04229030599829,1.5194175673076601e-09,1.63014922167331e-07
